# ==============================================================================
# List	of	protein-ligand	known
# 17679	protein-ligand	complexes	sorted
# Latest	update:	Dec
# PDB code,	-logKd/Ki,	Kd/Ki,	name
# ==============================================================================
4j7i	5.06	Kd=8.8uM	(11-mer)
5a2i	5.06	Kd=8.8uM	(6-mer)
5c1w	5.06	Ki=8.7uM	(4XS)
5ega	5.06	IC50=8.7uM	(GK0)
5h14	5.06	IC50=8.76uM	(LQB)
5i0b	5.06	IC50=8.7uM	(67U)
5icy	5.06	Kd=8700nM	(12-mer)
5luu	5.06	Kd=8.63uM	(77X)
5ops	5.06	Ki=8.63uM	(A3Q)
5tri	5.06	IC50=8.7uM	(7HM)
5vjn	5.06	Ki=8.7uM	(IR8)
2c3l	5.07	Ki=8.58uM	(IDZ)
2i7c	5.07	IC50=8.5uM	(AAT)
2xm1	5.07	Kd=8.5uM	(LTM)
2yfa	5.07	Kd=8.5uM	(LMR)
3axm	5.07	Ki=8.5uM	(6PG)
3juo	5.07	Kd=8.55uM	(AJD)
3r00	5.07	IC50=8.5uM	(UNJ)
4eok	5.07	Ki=8600nM	(4SP)
4f8j	5.07	Kd=8.6uM	(HC4)
4knz	5.07	Kd=8.5uM	(UMC)
4yab	5.07	IC50=8.5uM	(4CN)
5ak3	5.07	IC50=8.49uM	(XM0)
5dg6	5.07	IC50=8.6uM	(V66)
5hwv	5.07	Kd=8.5uM	(MBN)
5l87	5.07	Ki=8.43uM	(6RD)
5u12	5.07	Kd=8.5uM	(5RU)
6axp	5.07	Kd=8.5uM	(11-mer)
6dik	5.07	Kd=8.47uM	(GKP)
6dq6	5.07	Kd=8.5uM	(H6J)
1enu	5.08	Ki=8.3uM	(APZ)
1gfy	5.08	Ki=8.32uM	(COL)
2qtg	5.08	Ki=8.3uM	(MTH)
3efr	5.08	Kd=8.3uM	(BTN)
3m94	5.08	Kd=8.4uM	(M7M)
3nw5	5.08	IC50=8400nM	(LGX)
3qsb	5.08	IC50=8.3uM	(743)
3qyy	5.08	Kd=8.26uM	(C2E)
3snd	5.08	Ki=8.27uM	(6-mer)
3tb6	5.08	Kd=8.4uM	(ARB)
3w2o	5.08	IC50=8400nM	(03P)
4drk	5.08	IC50=8.36uM	(I63)
4ie0	5.08	IC50=8.3uM	(PD2)
4mho	5.08	Ki=8.25uM	(26M)
4ock	5.08	Kd=8.3uM	(ANP)
4ocv	5.08	Kd=8.3uM	(ANP)
4od7	5.08	Kd=8.3uM	(9-mer)
4oiv	5.08	Kd=8.29uM	(XX9)
4twd	5.08	IC50=8.3uM	(377)
4xx9	5.08	Kd=8.4uM	(RF4)
4z2h	5.08	IC50=8.3uM	(M6A)
5gmj	5.08	IC50=8.4uM	(19-mer)
5i13	5.08	IC50=8.26uM	(4P9)
5j32	5.08	Kd=8.3uM	(IPM)
5n2t	5.08	Kd=8.40uM	(8KK)
5trh	5.08	IC50=8.4uM	(7HL)
1m48	5.09	Kd=8.2uM	(FRG)
1nw7	5.09	Kd=8.1uM	(SAH)
1yyy	5.09	Ki=8100nM	(0KV)
1zkl	5.09	IC50=8.1uM	(IBM)
2y1o	5.09	IC50=8.2uM	(T26)
2ygf	5.09	Kd=8.06uM	(GDM)
2yk9	5.09	IC50=8.1uM	(YK9)
3hbo	5.09	Kd=8.2uM	(2NC)
3o4l	5.09	Kd=8.1uM	(9-mer)
3w2p	5.09	IC50=8100nM	(W2P)
4c72	5.09	Ki=8.2uM	(TLG)
4cq0	5.09	Ki=8106nM	(SXS)
4f6x	5.09	IC50=8.2uM	(ZYL)
4qvy	5.09	IC50=8.037uM	(BO2)
4r4q	5.09	Kd=8.2uM	(3HZ)
4utv	5.09	Kd=8.20uM	(9-mer)
4x3u	5.09	IC50=8.1uM	(SVR)
4xpj	5.09	Kd~8.11uM	(LPY)
5fhm	5.09	Ki=8.15uM	(5XP)
5h5s	5.09	Kd=8.2uM	(14-mer)
5hkh	5.09	Kd=8.1uM	(9-mer)
5jmx	5.09	IC50=8.2uM	(DZ5)
5o9p	5.09	Kd=8.06uM	(9P8)
6e86	5.09	Kd=8.2uM	(8-mer)
1b9t	5.10	IC50=8uM	(RAI)
1ez9	5.10	Kd=8uM	(4-mer)
1kmy	5.10	Kd=8uM	(BPY)
1m6p	5.10	Kd=8uM	(M6P)
1o0o	5.10	Ki=8uM	(A2P)
1od8	5.10	Ki=8uM	(XDL-XYP)
1onz	5.10	Kd=8uM	(968)
1rlp	5.10	Kd=8.0uM	(9-mer)
1rlq	5.10	Kd=8.0uM	(9-mer)
1t4j	5.10	IC50=8uM	(FRJ)
1v0k	5.10	Ki=8uM	(XDN-XYP)
1v0m	5.10	Ki=8uM	(XDN-XYP)
1vj6	5.10	Kd=8uM	(10-mer)
1w7g	5.10	Ki=8uM	(MIU)
1x8s	5.10	Kd=8uM	(12-mer)
1yvx	5.10	IC50=8.0uM	(IPC)
1zaj	5.10	IC50=8uM	(M2P)
2am2	5.10	IC50=8uM	(2LG)
2d1x	5.10	IC50=7.9uM	(15-mer)
2h5a	5.10	Kd=8uM	(X1P)
2m41	5.10	Kd=8uM	(15-mer)
2pnx	5.10	Kd=7.9uM	(12-mer)
2qrq	5.10	Ki=7.9uM	(S13)
2r02	5.10	Kd=8uM	(11-mer)
2r9w	5.10	Ki=8uM	(23C)
3bxs	5.10	Ki=8uM	(DRS)
3gy4	5.10	Kd=8uM	(PBZ)
3h22	5.10	IC50=8uM	(B53)
3nif	5.10	IC50=8uM	(NIF)
3p4v	5.10	Ki=8uM	(PMX)
3qw8	5.10	IC50=8.0uM	(5-mer)
3syr	5.10	Ki=7.9uM	(GPK)
3u3f	5.10	Kd=8uM	(17-mer)
3ujb	5.10	Kd=7.9uM	(SAH)
3vp2	5.10	IC50=8.02uM	(BP0)
3zvy	5.10	Kd=7.9uM	(8-mer)
4b77	5.10	IC50=7.9uM	(54M)
4cdr	5.10	Kd=7.9uM	(9-mer)
4dcs	5.10	Kd=8.0uM	(GDP)
4ejf	5.10	IC50=8uM	(18-mer)
4h3q	5.10	Kd=8uM	(13-mer)
4iho	5.10	Kd=8uM	(9-mer)
4qsh	5.10	Kd=8uM	(2BA)
4qsk	5.10	Kd=8uM	(2BA)
4qvn	5.10	IC50=7.925uM	(BO2)
4rkx	5.10	Ki=8uM	(3S9)
4rn6	5.10	Kd=8uM	(15U)
4tk3	5.10	Kd=8uM	(11-mer)
4tk4	5.10	Kd=8uM	(11-mer)
4ux9	5.10	Kd=7.9uM	(12-mer)
4ydf	5.10	Ki=7.9uM	(4B1)
5d3h	5.10	Kd=7.9uM	(57G)
5f39	5.10	IC50=8uM	(5UB)
5iv2	5.10	Kd>8.0uM	(12-mer)
5q1h	5.10	IC50=7.95uM	(9NP)
5xhr	5.10	Ki=7.9uM	(PXH)
6ap8	5.10	Kd=8.0uM	(BNY)
6ce6	5.10	Kd=8uM	(EYP)
1k4h	5.11	Ki=7.7uM	(APQ)
1yp9	5.11	Ki=7700nM	(UIZ)
2h6q	5.11	Kd=7.8uM	(9-mer)
3gpj	5.11	Ki=7.8uM	(SY2)
3hnb	5.11	IC50=7.8uM	(768)
3k4d	5.11	Ki=7750nM	(EVA)
3ozj	5.11	Kd=7.7uM	(BGV)
4b6u	5.11	Kd=7.7uM	(M7G)
4e49	5.11	Ki=7.7uM	(RCO)
4em7	5.11	IC50=7.7uM	(0RA)
4gly	5.11	Ki=7.7uM	(14-mer)
4qfl	5.11	Kd=7.7uM	(2-mer)
5c7d	5.11	IC50=7.7uM	(4YF)
5kej	5.11	Kd=7.8uM	(GTX)
5lbq	5.11	Kd=7.78uM	(767)
5lm6	5.11	IC50=7.7uM	(H32)
5ngf	5.11	Kd=7.8uM	(8WN)
5ogk	5.11	IC50=7.7uM	(GDD)
5u0e	5.11	Kd=7.7uM	(7R4)
5vqu	5.11	IC50=7.8uM	(9JP)
5y0x	5.11	Ki=7.75uM	(8JR)
6f0y	5.11	Kd=7.78uM	(15-mer)
1qaw	5.12	Kd=7.5uM	(TRP)
1uv6	5.12	Kd=7575nM	(CCE)
2i5f	5.12	IC50=7.5uM	(5IP)
2web	5.12	Ki=7.6uM	(PP4)
2y8o	5.12	Kd=7.5uM	(14-mer)
2yjw	5.12	IC50=7.6uM	(YJW)
2yjx	5.12	IC50=7.6uM	(YJX)
3bki	5.12	IC50=7.6uM	(FQX)
3hb8	5.12	Kd=7.5uM	(UMP)
3kad	5.12	IC50=7.5uM	(4C0)
3n2c	5.12	Ki=7.5uM	(LWY)
3nkx	5.12	Kd=7.5uM	(10-mer)
3tu9	5.12	IC50=7.5uM	(5MM)
3zso	5.12	Kd=7.6uM	(O2N)
4ay6	5.12	Kd=7.5uM	(12V)
4bio	5.12	IC50=7.6uM	(8XQ)
4f1l	5.12	Kd=7.6uM	(0RY)
4gj6	5.12	IC50=7.6uM	(0LS)
4h81	5.12	Kd=7.5uM	(WJ2)
4kiw	5.12	Ki=7.5uM	(KIW)
4m5n	5.12	Kd=7.5uM	(YH7)
4pci	5.12	IC50=7.5uM	(2NJ)
4zed	5.12	Kd=7.5uM	(AGW)
5d1w	5.12	Kd=7.5uM	(PLM)
5f74	5.12	Kd=7.6uM	(AMP)
5vsb	5.12	Kd=7.614uM	(9QA)
5wkm	5.12	IC50=7.5uM	(N02/B6Y)
5y1u	5.12	Kd=7.6uM	(12-mer)
6bh8	5.12	IC50=7.6uM	(RDF)
1gcz	5.13	Ki=7.4uM	(YZ9)
1hti	5.13	Ki=7.4uM	(PGA)
2kwn	5.13	Kd=7.4uM	(15-mer)
2x4t	5.13	IC50=7.33uM	(9-mer)
3aza	5.13	IC50=7.4uM	(KM0)
3o8g	5.13	IC50=7.4uM	(O8G)
3s9e	5.13	Ki=7.43uM	(GLU)
3wk4	5.13	IC50=7.4uM	(S0A)
4ezt	5.13	Kd=7.4uM	(9-mer)
4flj	5.13	IC50=7.45uM	(Y08)
4l7c	5.13	IC50=7.4uM	(1VW)
4qms	5.13	IC50=7.4uM	(1N1)
5d3p	5.13	Kd=7.4uM	(57E)
5hda	5.13	Kd=7.4uM	(9-mer)
6f9u	5.13	Ki=7.4uM	(D0W)
1pmx	5.14	IC50=7.2uM	(16-mer)
1w2x	5.14	Kd=7.2uM	(RCP)
1y3x	5.14	Ki=7315nM	(UIB)
1zzz	5.14	Ki=7300nM	(0IV)
2br1	5.14	Ki=7.2uM	(PFP)
2hqu	5.14	Kd=7.2uM	(DUP)
2lct	5.14	Kd=7.27uM	(13-mer)
2xi7	5.14	Kd=7.20uM	(XI7)
2yaz	5.14	Kd=7.3uM	(UMP)
2zjv	5.14	Kd=7.26uM	(CT4)
3bls	5.14	Ki=7.3uM	(APB)
3kr2	5.14	Kd=7.2uM	(ET2)
3pj2	5.14	IC50=7.2uM	(04K)
3sow	5.14	Kd=7.3uM	(9-mer)
3tao	5.14	Kd=7.28uM	(PGH)
3wuu	5.14	Kd=7.3uM	(14-mer)
4aua	5.14	IC50=7.2uM	(4AU)
4bdj	5.14	IC50=7.2uM	(Z2M)
4c1g	5.14	IC50=7.2uM	(MCO)
4ejl	5.14	Kd=7.2uM	(IOP)
4iks	5.14	IC50=7.23uM	(TFD)
4qw0	5.14	IC50=7.192uM	(BO2)
4xjt	5.14	IC50=7200nM	(41Z)
5btr	5.14	Kd=7.3uM	(5-mer)
5kva	5.14	Kd=7.32uM	(SAM)
5q11	5.14	IC50=7.19uM	(9M7)
5zh4	5.14	IC50=7.25uM	(9CC)
6b7c	5.14	Kd=7.2uM	(CWP)
6dak	5.14	Ki=7.21uM	(G1Y)
6gw1	5.14	Kd=7.2uM	(CHO)
6gzl	5.14	Kd=7.3uM	(17-mer)
6mvx	5.14	IC50=7.2uM	(K4D)
6mx3	5.14	IC50=7300nM	(K5P)
1g6s	5.15	Kd=7uM	(S3P)
1jcx	5.15	Ki=7.0uM	(PAI)
1jvu	5.15	Ki=7uM	(C2P)
1kna	5.15	Kd=7uM	(15-mer)
1ljt	5.15	IC50=7uM	(HDI)
1lkx	5.15	Kd=7.1uM	(ADP)
1mzs	5.15	IC50=7.0uM	(669)
1o0m	5.15	Ki=7.1uM	(U2P)
1pb8	5.15	Ki=7.02uM	(DSN)
1qk3	5.15	Kd=7.1uM	(5GP)
1qxw	5.15	IC50=7uM	(M1C)
1s38	5.15	Ki=7.0uM	(MAQ)
1skj	5.15	IC50=7.0uM	(UR2)
1t1s	5.15	IC50=7uM	(CBQ)
1thz	5.15	Ki=7.1uM	(326)
2afx	5.15	Ki=7.1uM	(1BN)
2go4	5.15	IC50=7uM	(TUX)
2gtv	5.15	Kd=7uM	(TSA)
2knh	5.15	Kd=7uM	(18-mer)
2o5d	5.15	IC50=7uM	(VR1)
2ooz	5.15	IC50=7uM	(OX5)
2r03	5.15	Kd=7uM	(8-mer)
2r05	5.15	Kd=7uM	(11-mer)
2xrw	5.15	Kd=7.1uM	(14-mer)
2xs0	5.15	Kd=7.1uM	(14-mer)
3b95	5.15	Kd=7uM	(15-mer)
3e6k	5.15	Kd=7uM	(ABH)
3l5c	5.15	IC50=7000nM	(BDQ)
3msl	5.15	IC50=7uM	(EV5)
3n49	5.15	IC50=7uM	(3N4)
3ozr	5.15	Ki=7022nM	(OZR)
3p8e	5.15	Kd=7uM	(LN7)
3udn	5.15	IC50=7.0uM	(09B)
4b83	5.15	IC50=7uM	(B3V)
4h85	5.15	Kd=7.0uM	(HRI)
4jpx	5.15	Kd=7.0uM	(PHE)
4pce	5.15	IC50=7.0uM	(2N0)
4qip	5.15	Kd=7uM	(SDS)
4qrh	5.15	Ki=7.0uM	(0O2)
4qvv	5.15	IC50=7.010uM	(BO2)
4qzw	5.15	IC50=7.155uM	(04C)
4w9e	5.15	Kd=7.09uM	(3JT)
5alw	5.15	IC50=7.05uM	(JQN)
5djp	5.15	IC50=7.1uM	(5BJ)
5gp7	5.15	Kd=7.1uM	(10-mer)
5kqg	5.15	IC50=7.1uM	(6VX)
5mwz	5.15	Kd=7.1uM	(KGU)
5vew	5.15	IC50=7.08uM	(97Y)
5xg4	5.15	IC50=7uM	(QUE)
5y2f	5.15	Kd=7.0uM	(8L9)
6b95	5.15	Ki=7.1uM	(D0P)
6f8t	5.15	IC50=7uM	(CZT)
1jqd	5.16	Ki=6.9uM	(SAH)
1oe0	5.16	IC50=6.9uM	(TTP)
1q1m	5.16	Ki=6.9uM	(234)
2ltv	5.16	Kd=6.9uM	(12-mer)
2y2k	5.16	IC50=6.9uM	(ZA5)
3b27	5.16	Kd=6.9uM	(B2T)
3ctr	5.16	Kd=6.94uM	(MGP)
3lqi	5.16	Kd=6.9uM	(9-mer)
4fqo	5.16	Kd=6.9uM	(AZ3)
5ow8	5.16	IC50=6.9uM	(AYN)
5th7	5.16	IC50=6.9uM	(75P)
5ufc	5.16	Kd=6.9uM	(3-mer)
5v83	5.16	IC50=6.91uM	(8Z7)
6mjf	5.16	Kd=6.88uM	(SAH)
1q0b	5.17	IC50=6.7uM	(NAT)
2f5t	5.17	Kd=6.8uM	(MAL)
2ynn	5.17	Kd=6.8uM	(8-mer)
2zfp	5.17	Ki=6.8uM	(19U)
3b7j	5.17	Ki=6.8uM	(JUG)
3eht	5.17	IC50=6.8uM	(16-mer)
3nzx	5.17	IC50=6.8uM	(5-mer)
3rni	5.17	IC50=6.7uM	(21Z)
3tc5	5.17	Kd=6.8uM	(3T5)
3uvw	5.17	Kd=6.8uM	(12-mer)
3wuv	5.17	Kd=6.7uM	(14-mer)
4gkm	5.17	Ki=6.8uM	(683)
4h3b	5.17	IC50=6.76uM	(10-mer)
4kp4	5.17	Kd=6.8uM	(ANP)
4m5i	5.17	Kd=6.7uM	(YH6)
4mdm	5.17	Ki=6.79uM	(26E)
5ahw	5.17	Kd=6.82uM	(CMP)
5aut	5.17	Kd=6.7uM	(2AN)
5diq	5.17	IC50=6.8uM	(5B9)
5fdz	5.17	Kd=6.8uM	(5X0)
5hm3	5.17	IC50=6.8uM	(649)
5svi	5.17	Kd=6.8uM	(8-mer)
5ubg	5.17	IC50=6.8uM	(PRT)
6cbf	5.17	Ki=6.8uM	(EWD)
6evo	5.17	Kd=6.8uM	(9-mer)
6hf5	5.17	IC50=6.7uM	(G1N)
6hwz	5.17	Ki=6.7uM	(GXE)
1ft7	5.18	Ki=6.6uM	(PLU)
1xur	5.18	IC50=6600nM	(PB5)
2p9a	5.18	IC50=6.56uM	(YE6)
2qrg	5.18	Ki=6.6uM	(M07)
3iqv	5.18	Kd=6.6uM	(6-mer)
3kag	5.18	IC50=6.6uM	(4D7)
3w37	5.18	Ki=6.68uM	(ACR)
4duh	5.18	Kd=6.6uM	(RLI)
4iif	5.18	Ki=6.6uM	(CTS)
4u73	5.18	Ki=6.6uM	(Q02)
4zs3	5.18	IC50=6.55uM	(A4F)
5tbp	5.18	Kd=6.67uM	(7A4)
6ar9	5.18	Ki=6.54uM	(3L4)
6dnp	5.18	IC50=6.6uM	(GZV)
1ocq	5.19	Ki=6.5uM	(IFM-BGC)
1ogg	5.19	Ki=6.4uM	(3-mer)
1oxr	5.19	Kd=6.4uM	(AIN)
1rnt	5.19	Kd=6.5uM	(2GP)
2c5o	5.19	IC50=6.50uM	(CK2)
2ko7	5.19	Ki=6.5uM	(JZF)
2lha	5.19	Kd=6.4uM	(IHP)
2mnz	5.19	Kd=6.4uM	(10-mer)
2nxm	5.19	Kd=6.4uM	(10-mer)
2qdt	5.19	Ki=6.5uM	(I38)
2xey	5.19	IC50=6.5uM	(YVQ)
3kjn	5.19	Ki=6.44uM	(B93)
3s1g	5.19	Ki=6.5uM	(ITE)
3t4p	5.19	Kd=6.43uM	(4-mer)
3twr	5.19	Kd=6.4uM	(16-mer)
3vfq	5.19	Kd=6.4uM	(AR6)
4ezz	5.19	Kd=6.4uM	(7-mer)
4fxf	5.19	IC50=6.5uM	(FBP)
4g0l	5.19	Kd=6.5uM	(GSH)
4m0z	5.19	Kd=6.4uM	(M0Z)
4ono	5.19	Kd=6.5uM	(PMK)
4qok	5.19	Kd=6.4uM	(10-mer)
5h21	5.19	IC50=6.4uM	(RMR)
5otz	5.19	Kd=6.5uM	(AUT)
6cj5	5.19	IC50=6.4uM	(F4G)
6dq5	5.19	Kd=6.4uM	(H6G)
1kll	5.20	Kd=6.3uM	(_MC)
2pmn	5.20	IC50=6.3uM	(K51)
3kqs	5.20	Kd=6.3uM	(AX7)
3ov1	5.20	Kd=6.25uM	(5-mer)
3qj0	5.20	Ki=6.3uM	(QI3)
3t7g	5.20	Kd=6.32uM	(17-mer)
3tjm	5.20	Ki=6.36uM	(7FA)
3uu1	5.20	Ki=6.3uM	(14B)
3wk6	5.20	IC50=6.3uM	(S0B)
4a6s	5.20	Kd=6.3uM	(GS9)
4b70	5.20	IC50=6.3uM	(WM9)
4bw2	5.20	IC50=6.31uM	(UTH)
4ezq	5.20	Kd=6.3uM	(9-mer)
4ezr	5.20	Kd=6.3uM	(8-mer)
4lk6	5.20	Kd=6.3uM	(GAL-LRD)
4mk0	5.20	IC50=6.3uM	(29X)
4qvq	5.20	IC50=6.366uM	(BO2)
5a7j	5.20	IC50=6.3uM	(K2Y)
5aia	5.20	IC50=6.268uM	(KWB)
5emb	5.20	Kd=6.3uM	(8-mer)
5f91	5.20	Ki=6.3uM	(5WJ)
5g1p	5.20	Kd=6.3uM	(CP)
5hg1	5.20	IC50=6.3uM	(62C)
5lu2	5.20	Kd=6.3uM	(13-mer)
5q10	5.20	IC50=6.28uM	(9M4)
1nw5	5.21	Kd=6.1uM	(SAM)
1o2r	5.21	Ki=6.1uM	(CR9)
1ox9	5.21	Kd=6.16uM	(11-mer)
1re1	5.21	IC50=6117nM	(NA3)
2brg	5.21	IC50=6.1uM	(DFY)
2mlm	5.21	IC50=6.11uM	(2W7)
3b2t	5.21	Kd=6.21uM	(M33)
3bcs	5.21	Ki=6.1uM	(CJB)
3ilq	5.21	Kd=6.2uM	(1O2)
3nsq	5.21	Kd=6.2uM	(CHZ)
3qiz	5.21	Ki=6.1uM	(QI2)
3rth	5.21	Kd=6.1uM	(RTH)
3wqv	5.21	Kd=6.2uM	(5-mer)
4cwo	5.21	Ki=6.1uM	(T62)
4few	5.21	Ki=6.2uM	(PP2)
4h2m	5.21	IC50=6.1uM	(0YV)
4ifh	5.21	IC50=6.1uM	(1EF)
4je8	5.21	Kd=6100nM	(3-mer)
4m0r	5.21	Ki=6.2uM	(644)
4mds	5.21	IC50=6.2uM	(23H)
4qz2	5.21	IC50=6.167uM	(04C)
5e0j	5.21	IC50=6.1uM	(5LJ)
5mxr	5.21	IC50=6.2uM	(JTY)
5o9q	5.21	Kd=6.2uM	(9PH)
5oje	5.21	Ki=6.1uM	(VSK)
5trk	5.21	IC50=6.2uM	(7HH)
5ty1	5.21	Kd=6.1uM	(7QV)
5ty9	5.21	Kd=6.1uM	(7QV)
5wag	5.21	Ki=6110nM	(A0V)
5x13	5.21	Kd=6.2uM	(HC4)
6asu	5.21	IC50=6.1uM	(BVS)
6f8b	5.21	IC50=6.2uM	(CXH)
6g84	5.21	Kd=6.1uM	(16-mer)
6g85	5.21	Kd=6.1uM	(16-mer)
7prc	5.21	IC50=6.2uM	(CET)
16pk	5.22	Ki=6uM	(BIS)
1bq4	5.22	Ki=6uM	(BHC)
1f3j	5.22	Kd=6.0uM	(14-mer)
1gi9	5.22	Ki=6.0uM	(123)
1gjd	5.22	Ki=6.0uM	(136)
1h1h	5.22	Ki=6uM	(A2P)
1irs	5.22	Kd=6uM	(11-mer)
1j17	5.22	Ki=6.05uM	(ZEN)
1o5c	5.22	Ki=6.0uM	(CR9)
1pw6	5.22	IC50=6uM	(FRB)
1ucn	5.22	Kd=6.0uM	(ADP)
1w4o	5.22	Ki=6uM	(UA3)
1zea	5.22	Kd=6uM	(9-mer)
1zz2	5.22	IC50=6.0uM	(B11)
2gnf	5.22	IC50=6uM	(Y27)
2gnj	5.22	IC50=6uM	(Y27)
2gz2	5.22	Kd=6.0uM	(A2P)
2hxm	5.22	Ki=6uM	(302)
2koh	5.22	Kd=6uM	(16-mer)
2qbx	5.22	Kd=6uM	(12-mer)
2rfy	5.22	Kd=6uM	(CBI)
2wzm	5.22	Ki=6.0uM	(NA7)
2xow	5.22	IC50=6uM	(ISM)
2xwy	5.22	IC50=6uM	(IB8)
2zxd	5.22	Ki=6.0uM	(ZXD)
3dne	5.22	Ki=6uM	(LL1)
3ds3	5.22	Kd=6.0uM	(12-mer)
3h85	5.22	Kd=6uM	(8-mer)
3ijz	5.22	Ki=6uM	(15C)
3iof	5.22	Ki=6uM	(IFS)
3lq2	5.22	Kd=5.97uM	(TDP)
3lq4	5.22	Kd=5.97uM	(TDP)
3ms9	5.22	Kd=6uM	(MS9)
3n1c	5.22	Kd=6uM	(F6P)
3n5j	5.22	IC50=6uM	(GO1)
3nti	5.22	Kd=6uM	(13-mer)
3o6t	5.22	IC50=6uM	(PX5)
3osi	5.22	IC50=6uM	(XDH)
3ppp	5.22	Kd=6uM	(BET)
3q71	5.22	Kd=6.0uM	(AR6)
3qxt	5.22	Kd=6uM	(MTX)
3udp	5.22	IC50=6.0uM	(09D)
3vbw	5.22	IC50=6uM	(0FN)
4kup	5.22	Ki=6uM	(1TZ)
4lrr	5.22	Ki=6uM	(CF9)
4r5g	5.22	Kd=6.0uM	(3JE)
4u71	5.22	Ki=6.0uM	(Q03)
4z8d	5.22	IC50=6uM	(4LB)
5cgj	5.22	Kd=6uM	(51M)
5dhs	5.22	Ki=6uM	(5AG)
5dkr	5.22	Kd=6.0uM	(5CZ)
5ev8	5.22	Ki=6uM	(3R9)
5ioy	5.22	Kd=6uM	(6C5)
5ja0	5.22	Kd=6uM	(FPP)
5ksv	5.22	IC50=6uM	(15-mer)
5u6k	5.22	Kd=6uM	(13-mer)
6di0	5.22	IC50>6000nM	(GJG)
6f4n	5.22	IC50=6uM	(AKG)
1b4z	5.23	Kd=5900nM	(3-mer)
1ndw	5.23	Ki=5900nM	(FR2)
2q38	5.23	Ki=5950nM	(LSA)
3dcq	5.23	IC50=5.94uM	(2G0)
3lc3	5.23	Ki=5.9uM	(IYX)
3pxy	5.23	IC50=5.9uM	(JWS)
3pxz	5.23	IC50=5.9uM	(JWS)
3wqw	5.23	Kd=5.9uM	(6-mer)
4m5k	5.23	Kd=5.9uM	(YH3)
4mh7	5.23	IC50=5.9uM	(MH7)
4qp7	5.23	IC50=5.9uM	(363)
5ema	5.23	Kd=5.9uM	(8-mer)
5tzo	5.23	Kd=5.9uM	(7V7)
5zms	5.23	IC50=5.9uM	(4-mer)
6bhv	5.23	Kd=5.87uM	(DQV)
1fh7	5.24	Ki=5.8uM	(2-mer)
1hk5	5.24	Kd=5.72uM	(T44)
1q8w	5.24	Kd=5.7uM	(M77)
1s89	5.24	Ki=5.8uM	(PGA)
1zrz	5.24	IC50=5.8uM	(BI1)
2jfz	5.24	Ki=5.8uM	(003)
2k3w	5.24	Kd=5.8uM	(16-mer)
2lsr	5.24	Kd=5.7uM	(16-mer)
2qq7	5.24	IC50=5.71uM	(SR2)
2vgc	5.24	Ki=5.76uM	(V35)
2vvt	5.24	IC50=5.8uM	(I24)
3aw0	5.24	IC50=5.7uM	(6-mer)
3e16	5.24	Ki=5.78uM	(B4C)
3m59	5.24	Kd=5.8uM	(11-mer)
3mle	5.24	Kd=5.8uM	(ADP)
3mqf	5.24	IC50=5.7uM	(20X)
3okh	5.24	IC50=5.72uM	(OKH)
3pb8	5.24	Ki=5.748uM	(AHN)
3qck	5.24	IC50=5.8uM	(NX5)
3qxh	5.24	Kd=5.8uM	(ADP)
3r01	5.24	IC50=5.8uM	(UNE)
3rjc	5.24	IC50=5.7uM	(06Z)
3tz2	5.24	Kd=5.7uM	(CLT)
3ueu	5.24	Kd=5.81uM	(DAO)
4drm	5.24	IC50=5.8uM	(0MC)
4drn	5.24	IC50=5.8uM	(0MC)
4e81	5.24	Kd=5.8uM	(10-mer)
4f7j	5.24	Kd=5.82uM	(0SU)
4fk7	5.24	Kd=5.8uM	(P34)
4gue	5.24	Kd=5.8uM	(QCT)
4idn	5.24	Kd=5.77uM	(GNP)
4ih7	5.24	Kd=5.8uM	(1ER)
4j70	5.24	IC50=5.7uM	(1KR)
4non	5.24	Kd=5.71uM	(GDP)
4o7e	5.24	IC50=5.7uM	(2RN)
4utx	5.24	Kd=5.78uM	(9-mer)
4uua	5.24	Kd=5.78uM	(9-mer)
4x6s	5.24	Kd=5.7uM	(11-mer)
4y59	5.24	Kd=5.8uM	(T21)
4zv1	5.24	Kd=5.73uM	(ARG)
5d24	5.24	Kd=5.8uM	(L26)
5d3j	5.24	Kd=5.7uM	(L33)
5d6q	5.24	IC50=5.8uM	(57V)
5edd	5.24	Kd=5.7uM	(DUP)
5hjd	5.24	Kd=5.7uM	(7-mer)
5n7x	5.24	Kd=5.7uM	(12-mer)
5w1e	5.24	Kd=5.8uM	(PHB)
6cf6	5.24	Kd=5.8uM	(13-mer)
1okw	5.25	IC50=5.6uM	(7-mer)
2bfr	5.25	Kd=5.63uM	(ADP)
2pv3	5.25	Kd=5.57uM	(12-mer)
2xl2	5.25	Kd=5.6uM	(14-mer)
2xl3	5.25	Kd=5.6uM	(14-mer)
3pj3	5.25	IC50=5.6uM	(04L)
3r24	5.25	Kd=5.59uM	(SAM)
3tdj	5.25	Kd=5.6uM	(3TJ)
3u1i	5.25	Ki=5.6uM	(5-mer)
4flk	5.25	IC50=5.58uM	(Y10)
4j2c	5.25	Kd=5.6uM	(17-mer)
4pkv	5.25	IC50=5.6uM	(30R)
5b5f	5.25	Kd=5.6uM	(6F3)
5b5g	5.25	Kd=5.6uM	(6FX)
5du4	5.25	Kd=5.6uM	(5FF)
5nfa	5.25	Kd=5.6uM	(8VQ)
5q17	5.25	IC50=5.64uM	(9MV)
